Id,City,Country
0,Madrid, España
1,Bogotá,
2,Santiago, Chile
3,Ponta Delgada,
4,Buenos Aires, Argentina
5,Buenos Aires, Argentina
6,Leon,
7,Rio Piedras, P.R.
8,Rio de Janeiro,
9,New York, NY
10,Buenos Aires, Argentina
11,Madrid, España
12,Barcelona, España
13,Curitiba,
14,Tegucigalpa,
15,Guatemala, Guatemala
16,Rio de Janeiro,
17,Madrid, España
18,México,
19,Xalapa, México
20,La Habana,
21,San Juan de Puerto Rico,
22,Lima,
23,Madrid, España
24,Madrid, España
25,Rio de Janeiro,
26,Madrid, España
27,New York, NY
28,México, D.F
29,Madrid, España
30,Madrid, España
31,São Paulo, Brasil
32,Ginebra [Geneva,
33,São Paulo, Brasil
34,Santiago,
35,Brazil,
36,Madrid, España
37,Rio de Janeiro,
38,Santiago, Chile
39,Madrid, España
40,Pamplona,
41,Madrid, España
42,México,
43,Zaragoza,
44,Paris,
45,Buenos Aires, Argentina
46,Caracas,
47,Madrid, España
48,México,
49,La Plata,
50,Caracas, Venezuela
51,Buenos Aires, Argentina
52,México,
53,Lisboa, Portugal
54,Bogotá,
55,Huancayo, Perú
56,Brazil,
57,La Paz, Bolivia
58,México,
59,Madrid, España
60,Angola,
61,Beijing,
62,Salamanca,
63,México,
64,Panamá, Rep. de P
65,México,
66,Bahía Blanca,
67,San José, C.R.
68,Madrid, España
69,Rio de Janeiro,
70,,
71,Managua, Nicaragua
72,Barcelona, España
73,São Paulo, Brasil
74,Santander,
75,Ciudad de La Habana,
76,São Paulo, Brasil
77,Gijón,
78,Lima,
79,Bogotá, D.E
80,Lima, Perú
81,La Habana,
82,Cuenca,
83,Rio de Janeiro, RJ
84,Rio de Janeiro,
85,Madrid, España
86,México,
87,Rio de Janeiro,
88,Madrid, España
89,La Paz,
90,Curitiba,
91,Brasília,
92,Caracas,
93,México,
94,Quito,
95,La Paz, Bolivia
96,Madrid, España
97,San Juan, P.R
98,Boquim [Brazil,
99,Madrid, España
100,Madrid, España
101,Rio de Janerio,
102,Madrid, España
103,La Rioja,
104,Lima, Perú
105,Habana,
106,Lima,
107,Rio de Janeiro,
108,Rio de Janeiro, Brasil
109,Buenos Aires, Argentina
110,Bogotá, Colombia
111,Bogotá,
112,Lerida [Spain,
